Time (s),EMG_Relaxed (mV),EMG_Contracted (mV)
2.841097763,0.06567722,0.103504086
2.841586092,0.070635962,0.073562594
2.842074421,0.073691871,0.057682971
2.84256275,0.075995988,0.062683134
2.843051079,0.0787904,0.053277295
2.843539408,0.076800426,0.009360464
2.844027737,0.067577051,-0.037327171
2.844516066,0.055439057,-0.040585798
2.845004395,0.043824103,0.000548077
2.845492724,0.034061856,0.04431105
2.845981053,0.021028942,0.053576521
2.846469382,0.002333496,0.026264131
2.846957711,-0.014119991,-0.010776803
2.84744604,-0.027470267,-0.03097965
2.847934369,-0.043135816,-0.034227997
2.848422698,-0.059595207,-0.038629653
2.848911026,-0.070220551,-0.048275941
2.849399355,-0.072244637,-0.054631417
2.849887684,-0.072483415,-0.056900615
2.850376013,-0.075471817,-0.059166162
2.850864342,-0.077710539,-0.062001117
2.851352671,-0.077152783,-0.061549214
2.851841,-0.072943279,-0.058382876
2.852329329,-0.065830329,-0.060761542
2.852817658,-0.05895775,-0.069795214
2.853305987,-0.052134192,-0.073188965
2.853794316,-0.040908751,-0.061581099
2.854282645,-0.023095081,-0.043928779
2.854770974,-0.006036512,-0.034473242
2.855259303,0.004728024,-0.034674121
2.855747632,0.017184465,-0.034631211
2.856235961,0.03423765,-0.021793091
2.856724289,0.046695151,0.004574576
2.857212618,0.05249952,0.031766729
2.857700947,0.059161869,0.051377373
2.858189276,0.070324645,0.064876961
2.858677605,0.07935816,0.072917486
2.859165934,0.081276272,0.074415741
2.859654263,0.079842847,0.075188756
2.860142592,0.076365833,0.080426462
2.860630921,0.071258959,0.081716906
2.86111925,0.065425387,0.069599457
2.861607579,0.05538945,0.04900265
2.862095908,0.039304102,0.027389573
2.862584237,0.020845134,0.008324297
2.863072566,0.007098834,-0.003471151
2.863560895,-0.003024953,-0.011378084
2.864049224,-0.016756706,-0.025538132
2.864537552,-0.032430824,-0.044810007
2.865025881,-0.045631773,-0.056460646
2.86551421,-0.053899903,-0.057569696
2.866002539,-0.059319576,-0.05822011
2.866490868,-0.068379674,-0.059917018
2.866979197,-0.075146794,-0.059755813
2.867467526,-0.074139751,-0.064809421
2.867955855,-0.074753513,-0.07558978
2.868444184,-0.077866958,-0.079927598
2.868932513,-0.07467567,-0.072852544
2.869420842,-0.062080515,-0.057354902
2.869909171,-0.043625418,-0.036182453
2.8703975,-0.026161722,-0.015583871
2.870885829,-0.012454062,0.001439801
2.871374158,-0.000711538,0.021591519
2.871862487,0.011955704,0.04613722
2.872350816,0.026072788,0.059776667
2.872839144,0.039314612,0.055619228
2.873327473,0.052906228,0.053245002
2.873815802,0.068143025,0.068926486
2.874304131,0.082136929,0.095808194
2.87479246,0.088614593,0.120619541
2.875280789,0.083332016,0.132295052
2.875769118,0.075814739,0.119419759
2.876257447,0.075226767,0.081605339
2.876745776,0.076035017,0.034185088
2.877234105,0.074132659,-0.004540186
2.877722434,0.06898161,-0.021911798
2.878210763,0.055297024,-0.015246923
2.878699092,0.033335563,0.006581293
2.879187421,0.01434076,0.025855885
2.87967575,0.00393465,0.026769439
2.880164079,-0.005564781,0.012355416
2.880652407,-0.018788975,-0.001860142
2.881140736,-0.033496838,-0.010025607
2.881629065,-0.050155123,-0.016111698
2.882117394,-0.067643171,-0.021531889
2.882605723,-0.079133204,-0.020626001
2.883094052,-0.080612041,-0.012438088
2.883582381,-0.07756816,-0.010880232
2.88407071,-0.077314047,-0.026763836
2.884559039,-0.078984671,-0.050269
2.885047368,-0.078304337,-0.061997407
2.885535697,-0.071970073,-0.061368281
2.886024026,-0.058248457,-0.0678317
2.886512355,-0.042074722,-0.081359518
2.887000684,-0.028625739,-0.077689031
2.887489013,-0.016936257,-0.053376934
2.887977342,-0.002620704,-0.031685927
2.88846567,0.01696596,-0.025036169
2.888953999,0.032745444,-0.024561957
2.889442328,0.037967674,-0.02114748
2.889930657,0.042153759,-0.013999229
2.890418986,0.051209891,-0.002881066
2.890907315,0.061954085,0.012451475
2.891395644,0.070760097,0.031234728
2.891883973,0.075055313,0.051591635
2.892372302,0.07530855,0.067042788
2.892860631,0.073128451,0.071671904
2.89334896,0.070320849,0.069467268
2.893837289,0.064316669,0.066838853
2.894325618,0.052742483,0.062097827
2.894813947,0.041174729,0.055166871
2.895302276,0.030811711,0.050693761
2.895790605,0.018348167,0.040960389
2.896278933,0.004060673,0.012604176
2.896767262,-0.010643999,-0.027625203
